step 0: train loss 10.9886, val loss 10.9898
iter 0: loss 10.9936, time 25384.41ms, mfu -100.00%
iter 10: loss 10.2871, time 3041.38ms, mfu 17.71%
iter 20: loss 9.7845, time 3044.02ms, mfu 17.71%
iter 30: loss 9.4727, time 3251.43ms, mfu 17.59%
iter 40: loss 9.1290, time 3059.67ms, mfu 17.60%
iter 50: loss 8.8451, time 3060.06ms, mfu 17.60%
iter 60: loss 8.7700, time 3025.61ms, mfu 17.62%
iter 70: loss 8.6113, time 3248.54ms, mfu 17.51%
iter 80: loss 8.5997, time 3152.31ms, mfu 17.47%
iter 90: loss 8.0940, time 2995.67ms, mfu 17.52%
iter 100: loss 7.9364, time 3038.26ms, mfu 17.54%
iter 110: loss 7.8018, time 3011.33ms, mfu 17.58%
iter 120: loss 7.2899, time 3067.63ms, mfu 17.57%
iter 130: loss 7.4281, time 3054.68ms, mfu 17.58%
iter 140: loss 7.1770, time 3249.17ms, mfu 17.48%
iter 150: loss 6.9206, time 3054.12ms, mfu 17.50%
iter 160: loss 6.9201, time 2981.61ms, mfu 17.55%
iter 170: loss 7.0597, time 3036.60ms, mfu 17.57%
iter 180: loss 6.7428, time 3045.72ms, mfu 17.58%
iter 190: loss 6.8896, time 3100.14ms, mfu 17.56%
iter 200: loss 7.0288, time 3070.71ms, mfu 17.56%
iter 210: loss 6.6280, time 3059.52ms, mfu 17.56%
iter 220: loss 6.6899, time 2950.46ms, mfu 17.63%
iter 230: loss 6.5647, time 3079.86ms, mfu 17.62%
iter 240: loss 6.5723, time 3059.85ms, mfu 17.62%
iter 250: loss 6.6220, time 3044.57ms, mfu 17.62%
iter 260: loss 6.2802, time 3046.31ms, mfu 17.63%
iter 270: loss 6.7167, time 3042.40ms, mfu 17.64%
iter 280: loss 6.3401, time 3051.70ms, mfu 17.64%
iter 290: loss 6.2245, time 3047.05ms, mfu 17.64%
iter 300: loss 6.3172, time 3046.15ms, mfu 17.65%
iter 310: loss 6.4568, time 3015.21ms, mfu 17.67%
iter 320: loss 6.1529, time 3054.89ms, mfu 17.67%
iter 330: loss 6.0538, time 3054.61ms, mfu 17.66%
iter 340: loss 5.9339, time 3040.09ms, mfu 17.67%
iter 350: loss 6.1277, time 3043.32ms, mfu 17.67%
iter 360: loss 5.9997, time 3042.06ms, mfu 17.67%
iter 370: loss 6.1758, time 3053.55ms, mfu 17.67%
iter 380: loss 6.1684, time 3044.46ms, mfu 17.67%
iter 390: loss 6.1110, time 3048.41ms, mfu 17.67%
iter 400: loss 5.8375, time 3038.47ms, mfu 17.68%
iter 410: loss 5.8767, time 3013.63ms, mfu 17.70%
iter 420: loss 5.8785, time 3046.47ms, mfu 17.70%
iter 430: loss 6.0147, time 3039.15ms, mfu 17.70%
iter 440: loss 5.9280, time 3044.25ms, mfu 17.70%
iter 450: loss 6.0234, time 3049.41ms, mfu 17.69%
iter 460: loss 5.8625, time 3058.87ms, mfu 17.69%
iter 470: loss 5.9150, time 3041.13ms, mfu 17.69%
iter 480: loss 5.7097, time 3063.66ms, mfu 17.68%
iter 490: loss 5.7058, time 3053.24ms, mfu 17.67%
iter 500: loss 5.7150, time 3045.00ms, mfu 17.68%
iter 510: loss 5.8208, time 3033.35ms, mfu 17.68%
iter 520: loss 5.4639, time 3066.49ms, mfu 17.67%
iter 530: loss 5.7427, time 3071.20ms, mfu 17.66%
iter 540: loss 5.5438, time 3040.29ms, mfu 17.66%
iter 550: loss 5.7864, time 3057.96ms, mfu 17.66%
iter 560: loss 5.7012, time 3053.27ms, mfu 17.66%
iter 570: loss 5.4525, time 3059.25ms, mfu 17.65%
