step 0: train loss 10.9886, val loss 10.9898
iter 0: loss 10.9936, time 25976.25ms, mfu -100.00%
iter 10: loss 10.2871, time 4029.58ms, mfu 13.37%
iter 20: loss 9.7845, time 3021.11ms, mfu 13.81%
iter 30: loss 9.4727, time 3273.45ms, mfu 14.08%
iter 40: loss 9.1291, time 3191.49ms, mfu 14.36%
iter 50: loss 8.8452, time 3321.14ms, mfu 14.54%
iter 60: loss 8.7699, time 3274.85ms, mfu 14.73%
iter 70: loss 8.6113, time 3271.35ms, mfu 14.91%
iter 80: loss 8.5997, time 3307.49ms, mfu 15.04%
iter 90: loss 8.0942, time 3220.30ms, mfu 15.21%
iter 100: loss 7.9363, time 3412.58ms, mfu 15.27%
iter 110: loss 7.8015, time 3320.35ms, mfu 15.37%
iter 120: loss 7.2895, time 3229.65ms, mfu 15.50%
iter 130: loss 7.4312, time 3450.78ms, mfu 15.51%
iter 140: loss 7.1765, time 3269.29ms, mfu 15.60%
iter 150: loss 6.9199, time 4223.78ms, mfu 15.32%
iter 160: loss 6.9181, time 3208.33ms, mfu 15.47%
iter 170: loss 7.0559, time 3329.79ms, mfu 15.54%
iter 180: loss 6.7453, time 3245.82ms, mfu 15.64%
iter 190: loss 6.8895, time 3252.08ms, mfu 15.74%
iter 200: loss 7.0244, time 3333.72ms, mfu 15.78%
iter 210: loss 6.6204, time 3267.94ms, mfu 15.85%
iter 220: loss 6.6869, time 3218.22ms, mfu 15.94%
iter 230: loss 6.5628, time 3030.42ms, mfu 16.12%
iter 240: loss 6.5709, time 3203.21ms, mfu 16.19%
iter 250: loss 6.6184, time 3251.49ms, mfu 16.23%
iter 260: loss 6.2765, time 3451.16ms, mfu 16.17%
iter 270: loss 6.7120, time 3022.84ms, mfu 16.33%
iter 280: loss 6.3350, time 3033.19ms, mfu 16.47%
iter 290: loss 6.2216, time 3456.87ms, mfu 16.38%
iter 300: loss 6.3160, time 3236.75ms, mfu 16.41%
iter 310: loss 6.4565, time 3235.91ms, mfu 16.43%
iter 320: loss 6.1581, time 3138.56ms, mfu 16.51%
iter 330: loss 6.0486, time 3275.64ms, mfu 16.50%
iter 340: loss 5.9358, time 3018.48ms, mfu 16.63%
iter 350: loss 6.1233, time 3307.85ms, mfu 16.60%
iter 360: loss 6.0023, time 3422.63ms, mfu 16.51%
iter 370: loss 6.1841, time 3234.10ms, mfu 16.53%
iter 380: loss 6.1709, time 3032.78ms, mfu 16.65%
iter 390: loss 6.1134, time 3303.75ms, mfu 16.62%
iter 400: loss 5.8321, time 3369.82ms, mfu 16.55%
iter 410: loss 5.8802, time 3235.94ms, mfu 16.56%
iter 420: loss 5.8695, time 3233.94ms, mfu 16.57%
iter 430: loss 6.0099, time 3031.39ms, mfu 16.69%
iter 440: loss 5.9325, time 3040.53ms, mfu 16.79%
iter 450: loss 6.0168, time 3248.82ms, mfu 16.77%
iter 460: loss 5.8611, time 3336.21ms, mfu 16.71%
iter 470: loss 5.9077, time 3245.92ms, mfu 16.70%
iter 480: loss 5.7166, time 3031.11ms, mfu 16.81%
iter 490: loss 5.7218, time 3269.10ms, mfu 16.77%
iter 500: loss 5.7157, time 3286.83ms, mfu 16.73%
iter 510: loss 5.8418, time 3298.91ms, mfu 16.69%
iter 520: loss 5.4433, time 3260.80ms, mfu 16.68%
iter 530: loss 5.7325, time 3359.10ms, mfu 16.61%
iter 540: loss 5.5416, time 3254.91ms, mfu 16.61%
iter 550: loss 5.7809, time 3361.61ms, mfu 16.55%
iter 560: loss 5.6903, time 3461.02ms, mfu 16.45%
iter 570: loss 5.4400, time 3257.56ms, mfu 16.46%
iter 580: loss 5.6507, time 3253.87ms, mfu 16.47%
iter 590: loss 5.6739, time 3306.84ms, mfu 16.45%
iter 600: loss 5.5908, time 3421.58ms, mfu 16.38%
iter 610: loss 5.5378, time 3366.39ms, mfu 16.34%
iter 620: loss 5.5279, time 3254.79ms, mfu 16.36%
iter 630: loss 5.4682, time 3247.95ms, mfu 16.38%
iter 640: loss 5.3309, time 3251.06ms, mfu 16.40%
iter 650: loss 5.3249, time 3231.80ms, mfu 16.43%
iter 660: loss 5.5891, time 3042.64ms, mfu 16.56%
iter 670: loss 5.4329, time 3031.05ms, mfu 16.68%
iter 680: loss 5.2545, time 3253.41ms, mfu 16.67%
iter 690: loss 5.2826, time 3254.66ms, mfu 16.65%
iter 700: loss 5.2815, time 3257.59ms, mfu 16.64%
iter 710: loss 5.1392, time 3319.86ms, mfu 16.60%
iter 720: loss 5.2542, time 3238.13ms, mfu 16.60%
iter 730: loss 5.2678, time 3236.18ms, mfu 16.61%
iter 740: loss 5.4051, time 3237.21ms, mfu 16.61%
iter 750: loss 5.1114, time 3234.88ms, mfu 16.61%
iter 760: loss 5.2666, time 3361.63ms, mfu 16.56%
iter 770: loss 5.1271, time 3362.44ms, mfu 16.50%
iter 780: loss 5.0152, time 3230.12ms, mfu 16.52%
iter 790: loss 4.8141, time 3256.07ms, mfu 16.52%
