input,output
[0.01],True
"[0.01, -0.64]","[True, False]"
"[0.01, -0.64, 0.96]","[True, False, False]"
"[0.01, -0.64, 0.96, -1.69]","[True, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62]","[True, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58]","[True, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13]","[True, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0]","[True, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59]","[True, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34]","[True, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67]","[True, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85]","[True, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08]","[True, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.01, -0.64, 0.96, -1.69, 0.62, -1.58, -1.13, 0.0, 0.59, 0.34, -0.67, 0.85, -0.08, 1.51, 0.26, -0.24, -1.38, -0.47, -0.26, -0.4, -0.31, -0.86, 2.01, -0.66, 1.6, -1.48]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
